Date,qc,Tc_in,Tcond,Tc_out,mv,Tv,Tamb,Cw
09-Feb-2024,16,25.13,34.98,32.39,205.61,36.03,14.89,88.248
26-Feb-2024,10,17.07,34.73,32.3,266.93,36.09,16.7,120.6
16-Apr-2024,22.43,33.12,41.59,38.24,212.22,43.3,25.06,0
16-Apr-2024,24,33.18,41.71,37.9,209.4,43.35,27.42,140.064
16-Apr-2024,23.74,33.16,41.92,38.53,235.36,43.52,29.84,124.71
16-Apr-2024,24,31.66,41.49,36.8,219.49,43.44,31.02,139.218
18-Apr-2024,24,33.17,41.67,38.25,231.26,43.28,19.55,124.8
18-Apr-2024,24,33.16,41.71,38.11,216.7,43.28,20.82,130.824
18-Apr-2024,24,33.9,42.88,40.2,269.14,43.55,22.24,0
18-Apr-2024,24,33.68,41.99,38.83,221.89,43.43,23.09,0
18-Apr-2024,24,35.31,42.75,40.44,220.82,43.42,23.62,0
19-Apr-2024,24,33.18,43.25,40.69,333.48,43.88,16.51,205.074
17-Oct-2024,18,40.94,47.49,47.13,191.75,49.12,22.6,36.786
01-Mar-2024,10,38.21,53.72,51.22,232.7,56.16,18.2,0
01-Mar-2024,23.82,47.19,54.8,52.7,239.12,56.2,18.01,0
