Tamb;Tin DC;Tout DC;SC_DC (%);q_DC (m3/h)
20,45;36,11;31,00;13,34;4,96
21,92;40,58;35,72;11,00;5,48
22,70;35,83;31,10;73,78;22,81
21,20;40,51;35,94;37,42;21,06
13,50;37,02;34,42;11,00;14,67
26,82;37,52;34,89;23,48;14,86
15,46;37,46;31,05;35,62;14,66
26,75;36,00;31,15;63,48;14,60
13,74;38,34;32,86;11,00;6,45
27,54;37,69;32,99;21,25;5,87
12,35;37,83;33,06;33,67;22,97
25,74;37,87;33,13;75,33;24,86
20,94;35,39;32,89;19,27;14,88
22,92;35,40;29,13;69,21;14,96
19,64;41,04;38,38;14,78;15,53
22,34;40,79;34,16;45,58;14,48
21,59;37,97;34,61;11,00;5,97
23,47;37,65;31,00;23,02;5,95
22,06;38,03;35,91;22,84;23,67
18,57;37,52;30,96;69,81;34,16
13,91;36,78;30,90;31,02;14,97
26,76;36,00;31,15;6,48;13,98
14,08;41,12;36,19;20,30;15,12
28,51;41,06;35,91;51,17;14,84
23,67;37,43;32,90;36,61;14,76
20,60;38,45;33,50;32,08;14,77
23,35;38,13;33,20;34,14;14,52
