Nusselt experimental;Nusselt predicted
1,776080097;1,599932978
1,592982063;1,242843207
7,97213041;9,56241742
4,479423658;4,908843372
1,785950362;1,259987373
3,874350647;3,003675974
3,989011038;4,735326252
10,11683646;8,207257875
1,568641226;1,261183089
3,643581247;4,492521395
10,49016385;9,679274746
2,288010282;2,453530479
9,145193769;8,993542922
1,661423685;1,806085592
5,067147688;5,973909338
1,115086937;1,248784376
3,499437451;2,96344225
2,638216364;2,941240634
2,50303741;2,616449966
6,415791409;6,614809087
4,943336748;4,792046249
3,836682379;4,211416454
5,217504249;4,462297187
