Tv,qc,Tc_in,Tcond,Tc_out,mv
36.11,10,17.07,34.74,32.27,268.2
36.17,24,26.74,34.9,32.6,250.33
54.9,10,38.09,54.42,53.05,270.6
55.7,23.81,47.41,53.13,53.4,253.5
35.95,16,26.1,34.76,32.48,186.5
36.31,16,20.11,35.04,31.18,317.6
55.2,16,44.63,53.21,51.91,196
55.87,16,43.45,54.24,53.64,327.72
43.69,10,31.13,43.16,42.11,194.82
44.51,10,25.07,43.76,42,304.18
43.62,24,37.19,42.87,41.74,200.15
45.16,24,35.12,44.49,42.26,306.15
44.04,16,33.11,43.23,41.85,249.95
44.38,16,33.1,43.91,42.1,256.44
44.39,16,33.1,43.91,42.13,254.33
41.1,10,32.82,39.71,39.35,118.14
