,Tv,Tc_in,Tc_out,qc,mv,Tcond
0,36.11,21.80373175472296,37.30626824527704,10.0,268.2,36.11
1,36.17,26.097780765510162,32.126438852429025,24.0,250.33,36.17
2,54.9,37.365255185384335,52.706281064810554,10.0,270.6,54.9
3,55.7,47.52140807245334,53.7,23.81,253.5,55.7
4,35.95,26.819283059835318,33.55788148097684,16.0,186.5,35.95
5,36.31,23.9192398331246,35.3907601668754,16.0,317.6,36.31
6,55.2,46.210806680841536,53.2,16.0,196.0,55.2
7,55.87,41.92137625571306,53.52101130210227,16.0,327.72,55.87
8,43.69,30.488108655328617,41.69,10.0,194.82,43.69
9,44.51,25.073786094795018,42.43621390520498,10.0,304.18,44.51
10,43.62,36.78320066447859,41.62,24.0,200.15,43.62
11,45.16,34.72790386030025,42.03516658026583,24.0,306.15,45.16
12,44.04,32.542999163995894,41.50207996253099,16.0,249.95,44.04
13,44.38,32.59352343673175,41.78203471484031,16.0,256.44,44.38
14,44.39,32.712176636523104,41.82499095033888,16.0,254.33,44.39
15,41.1,32.30457009178816,39.1,10.0,118.14,41.1
